layers.4.vars.weights_0	torch.Size([256, 256])	gcn/graphconvolution_4_vars/weights_0:0	[256, 256]
layers.4.vars.weights_1	torch.Size([256, 256])	gcn/graphconvolution_4_vars/weights_1:0	[256, 256]
layers.4.vars.bias	torch.Size([256])	gcn/graphconvolution_4_vars/bias:0	[256]
layers.5.vars.weights_0	torch.Size([256, 256])	gcn/graphconvolution_5_vars/weights_0:0	[256, 256]
layers.5.vars.weights_1	torch.Size([256, 256])	gcn/graphconvolution_5_vars/weights_1:0	[256, 256]
layers.5.vars.bias	torch.Size([256])	gcn/graphconvolution_5_vars/bias:0	[256]
layers.6.vars.weights_0	torch.Size([256, 256])	gcn/graphconvolution_6_vars/weights_0:0	[256, 256]
layers.6.vars.weights_1	torch.Size([256, 256])	gcn/graphconvolution_6_vars/weights_1:0	[256, 256]
layers.6.vars.bias	torch.Size([256])	gcn/graphconvolution_6_vars/bias:0	[256]
layers.7.vars.weights_0	torch.Size([256, 256])	gcn/graphconvolution_7_vars/weights_0:0	[256, 256]
layers.7.vars.weights_1	torch.Size([256, 256])	gcn/graphconvolution_7_vars/weights_1:0	[256, 256]
layers.7.vars.bias	torch.Size([256])	gcn/graphconvolution_7_vars/bias:0	[256]
layers.8.vars.weights_0	torch.Size([256, 256])	gcn/graphconvolution_8_vars/weights_0:0	[256, 256]
layers.8.vars.weights_1	torch.Size([256, 256])	gcn/graphconvolution_8_vars/weights_1:0	[256, 256]
layers.8.vars.bias	torch.Size([256])	gcn/graphconvolution_8_vars/bias:0	[256]
layers.9.vars.weights_0	torch.Size([256, 256])	gcn/graphconvolution_9_vars/weights_0:0	[256, 256]
layers.9.vars.weights_1	torch.Size([256, 256])	gcn/graphconvolution_9_vars/weights_1:0	[256, 256]
layers.9.vars.bias	torch.Size([256])	gcn/graphconvolution_9_vars/bias:0	[256]
layers.10.vars.weights_0	torch.Size([256, 256])	gcn/graphconvolution_10_vars/weights_0:0	[256, 256]
layers.10.vars.weights_1	torch.Size([256, 256])	gcn/graphconvolution_10_vars/weights_1:0	[256, 256]
layers.10.vars.bias	torch.Size([256])	gcn/graphconvolution_10_vars/bias:0	[256]
layers.11.vars.weights_0	torch.Size([256, 256])	gcn/graphconvolution_11_vars/weights_0:0	[256, 256]
